Station,Year,Rides
40700,2017,344456
40710,2001,1151241
40710,2002,1140271
40710,2003,1128739
40710,2004,1145471
40710,2005,1204994
40710,2006,1270357
40710,2007,1494694
40710,2008,1648811
40710,2009,1535380
40710,2010,1670746
40710,2011,1903466
40710,2012,2032116
40710,2013,2002058
40710,2014,2082768
40710,2015,1993032
40710,2016,1981436
40710,2017,1837371
40720,2001,438084
40720,2002,423310
40720,2003,401115
40720,2004,368950
40720,2005,387618
40720,2006,424809
40720,2007,406095
40720,2008,399681
40720,2009,382939
40720,2010,387505
40720,2011,428263
40720,2012,423441
40720,2013,574293
40720,2014,438921
40720,2015,415343
40720,2016,372487
40720,2017,330529
40730,2001,1847851
40730,2002,1856144
40730,2003,1767818
40730,2004,1704668
40730,2005,1796426
40730,2006,1937393
40730,2007,1877549
40730,2008,1897225
40730,2009,1864395
40730,2010,1803416
40730,2011,1903983
40730,2012,2060141
40730,2013,2030649
40730,2014,2063759
40730,2015,2141722
40730,2016,2301981
40730,2017,2065985
40740,2001,149671
40740,2002,138530
40740,2003,139314
40740,2004,137130
40740,2005,203562
40740,2006,246914
40740,2007,285739
40740,2008,321939
40740,2009,312413
40740,2010,328071
40740,2011,343031
40740,2012,355914
40740,2013,368406
40740,2014,392832
40740,2015,402701
40740,2016,370190
40740,2017,333026
40750,2001,796056
40750,2002,791036
40750,2003,822808
40750,2004,837466
40750,2005,851548
40750,2006,867414
40750,2007,769497
40750,2008,764141
40750,2009,769804
40750,2010,814211
40750,2011,848051
40750,2012,903046
40750,2013,915422
40750,2014,932912
40750,2015,951291
40750,2016,906559
40750,2017,823060
40760,2001,1083733
40760,2002,1123451
40760,2003,1108577
40760,2004,1056134
40760,2005,1103872
40760,2006,1163242
40760,2007,1095586
40760,2008,1111226
40760,2009,1173023
40760,2010,1253735
40760,2011,1296560
40760,2012,1157079
40760,2013,1333721
40760,2014,1419768
40760,2015,1405376
40760,2016,1369003
40760,2017,1211121
40770,2001,884056
40770,2002,870077
40770,2003,856756
40770,2004,863552
40770,2005,935050
40770,2006,1004315
40770,2007,960402
40770,2008,1053391
40770,2009,1075055
40770,2010,1105246
40770,2011,1145750
40770,2012,979965
40770,2013,1082730
40770,2014,1147022
40770,2015,1139764
40770,2016,1148150
40770,2017,1068076
40780,2001,116859
40780,2002,83915
40780,2003,44105
40780,2004,100812
40780,2005,172977
40780,2006,228622
40780,2007,271699
40780,2008,307676
40780,2009,323544
40780,2010,336337
40780,2011,355568
40780,2012,397764
40780,2013,408274
40780,2014,417750
40780,2015,425670
40780,2016,384087
40780,2017,333732
40790,2001,1603523
40790,2002,1565187
40790,2003,1573989
40790,2004,1517744
40790,2005,1540023
40790,2006,1642619
40790,2007,1567095
40790,2008,1706712
40790,2009,1580291
40790,2010,1647469
40790,2011,1902170
40790,2012,1972428
40790,2013,2098497
40790,2014,2114139
40790,2015,2240798
40790,2016,2324240
40790,2017,2193886
40800,2001,703323
40800,2002,753513
40800,2003,759719
40800,2004,819782
40800,2005,893318
40800,2006,929949
40800,2007,895627
40800,2008,1065517
40800,2009,1064907
40800,2010,1132721
40800,2011,1219368
40800,2012,1301294
40800,2013,1263880
40800,2014,1247809
40800,2015,1151664
40800,2016,1254219
40800,2017,1130424
40810,2001,618844
40810,2002,662616
40810,2003,685687
40810,2004,696987
40810,2005,663439
40810,2006,700875
40810,2007,697637
40810,2008,767582
40810,2009,809642
40810,2010,904409
40810,2011,999806
40810,2012,1064597
40810,2013,1066519
40810,2014,1057934
40810,2015,1026606
40810,2016,940271
40810,2017,676614
40820,2001,1566912
40820,2002,1482616
40820,2003,1490279
40820,2004,1519828
40820,2005,1589823
40820,2006,1646637
40820,2007,1496508
40820,2008,1612752
40820,2009,1312847
40820,2010,1376387
40820,2011,1531719
40820,2012,1729510
40820,2013,1893723
40820,2014,2090977
40820,2015,2106653
40820,2016,2062702
40820,2017,1883603
40830,2001,256183
40830,2002,251387
40830,2003,251773
40830,2004,236536
40830,2005,320783
40830,2006,360924
40830,2007,407087
40830,2008,466493
40830,2009,483374
40830,2010,505379
40830,2011,556130
40830,2012,579674
40830,2013,598653
40830,2014,636897
40830,2015,656597
40830,2016,613715
40830,2017,546773
40840,2001,255644
40840,2002,249180
40840,2003,239418
40840,2004,225023
40840,2005,223089
40840,2006,228052
40840,2007,222085
40840,2008,233990
40840,2009,232754
40840,2010,235127
40840,2011,248250
40840,2012,254273
40840,2013,249880
40840,2014,259389
40840,2015,254618
40840,2016,244929
40840,2017,218291
40850,2001,683280
40850,2002,711961
40850,2003,705501
40850,2004,642950
40850,2005,691128
40850,2006,853604
40850,2007,1106293
40850,2008,1344912
40850,2009,1251260
40850,2010,1256159
40850,2011,1309878
40850,2012,1338638
40850,2013,1259201
40850,2014,1240103
40850,2015,1219248
40850,2016,1198160
40850,2017,1080856
40870,2001,332897
40870,2002,328918
40870,2003,325306
40870,2004,314450
40870,2005,311399
40870,2006,277793
40870,2007,254702
40870,2008,357585
40870,2009,391718
40870,2010,415770
40870,2011,428583
40870,2012,453819
40870,2013,478809
40870,2014,475032
40870,2015,478282
40870,2016,501852
40870,2017,470318
40880,2001,935386
40880,2002,942867
40880,2003,884328
40880,2004,833603
40880,2005,842738
40880,2006,893827
40880,2007,869263
40880,2008,900202
40880,2009,884006
40880,2010,898702
40880,2011,945668
40880,2012,870233
40880,2013,953569
40880,2014,994768
40880,2015,1013867
40880,2016,1022049
40880,2017,916936
40890,2001,2884259
40890,2002,2809209
40890,2003,2829511
40890,2004,3042488
40890,2005,3250719
40890,2006,3362802
40890,2007,3253981
40890,2008,2971394
40890,2009,2993075
40890,2010,3126256
40890,2011,3332138
40890,2012,3532031
40890,2013,3483124
40890,2014,3516496
40890,2015,4053704
40890,2016,3998035
40890,2017,3636058
40900,2001,1981231
40900,2002,1858143
40900,2003,1846408
40900,2004,1842926
40900,2005,1926006
40900,2006,1969217
40900,2007,1903038
40900,2008,1929125
40900,2009,1910857
40900,2010,1996059
40900,2011,2081853
40900,2012,2153050
40900,2013,2066455
40900,2014,2043714
40900,2015,2209310
40900,2016,1905107
40900,2017,1706855
40910,2001,1170344
40910,2002,1131718
40910,2003,1046110
40910,2004,979883
40910,2005,990684
40910,2006,998462
40910,2007,1091165
40910,2008,1217030
